ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
490,KwaZulu Natal - Emnambithi/Ladysmith,Ladysmith,"-28.557902,29.786336",09/08/2013 00:00,09/08/2013 00:00
496,Gauteng - City of Johannesburg,Johannesburg,"-26.139104,27.862",09/08/2013 00:00,09/08/2013 00:00
497,Western Cape - City of Cape Town,Cape Town,"-34.039858,18.677731",09/08/2013 00:00,09/08/2013 00:00
471,Gauteng - City of Tshwane,Pretoria,"-25.627942,28.085014",09/09/2013 00:00,09/09/2013 00:00
478,Gauteng - City of Johannesburg,Johannesburg,"-26.102528,28.000267",09/09/2013 00:00,09/09/2013 00:00
479,Western Cape - City of Cape Town,Cape Town,"-34.03868,18.677083",09/09/2013 00:00,09/09/2013 00:00
480,Western Cape - City of Cape Town,Cape Town,"-33.90745,18.588661",09/09/2013 00:00,09/09/2013 00:00
481,Gauteng - City of Johannesburg,Johannesburg,"-25.939489,28.019971",09/09/2013 00:00,09/09/2013 00:00
482,Gauteng - City of Johannesburg,Johannesburg,"-26.387941,27.802646",09/09/2013 00:00,09/09/2013 00:00
492,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.957754,25.597435",09/09/2013 00:00,09/10/2013 00:00
498,Eastern Cape - Mnquma,East London,"-31.585993,28.790174",09/09/2013 00:00,09/09/2013 00:00
501,North West - Tlokwe City Council,Potchefstroom,"-26.721492,27.040865",09/09/2013 00:00,09/09/2013 00:00
577,Gauteng - Ekurhuleni,Johannesburg,"-26.371147,28.375404",09/09/2013 00:00,09/09/2013 00:00
636,Gauteng - City of Johannesburg,Johannesburg,"-26.204089,28.038091",09/09/2013 00:00,09/09/2013 00:00
489,Gauteng - City of Johannesburg,Johannesburg,"-26.202513,28.04524",09/10/2013 00:00,09/10/2013 00:00
